feature,control_mean,experiment_mean,smd,abs_smd,balance_status
f0,19.651704714743474,19.61475504093001,-0.006865619193250816,0.006865619193250816,Баланс приемлемый
f1,10.06793542552677,10.070336700396357,0.023994397507282026,0.023994397507282026,Баланс приемлемый
f2,8.448173104019592,8.446301578306452,-0.00624098922289925,0.00624098922289925,Баланс приемлемый
f3,4.232820995845125,4.169411678368264,-0.04883634021547646,0.04883634021547646,Баланс приемлемый
f4,10.336525673121422,10.339245227688842,0.007965660450304514,0.007965660450304514,Баланс приемлемый
f5,4.039338816423102,4.0266024733763235,-0.030556830825290177,0.030556830825290177,Баланс приемлемый
f6,-3.999879725528662,-4.18279239145047,-0.0404480688171286,0.0404480688171286,Баланс приемлемый
f7,5.080284299014888,5.105555292281528,0.021269530040212474,0.021269530040212474,Баланс приемлемый
f8,3.9346517474111904,3.9333918541588555,-0.022433335297136005,0.022433335297136005,Баланс приемлемый
f9,15.8862525098733,16.052588743730052,0.024001057721428718,0.024001057721428718,Баланс приемлемый
f10,5.331898099926723,5.333659813881366,0.010563463761382515,0.010563463761382515,Баланс приемлемый
f11,-0.17086774869134286,-0.17098480630557855,-0.005159528267421207,0.005159528267421207,Баланс приемлемый
